"Nature","Year","Incidents"
"Credit/Debit Card Fraud",2004,217
"Embezzlement/Theft",2004,522
"Forgery",2004,166
"Futures Fraud",2004,10
"Identity Theft",2004,790
"Insider Trading",2004,145
"Mail Fraud",2004,144
"Market Manipulation",2004,92
"Money Laundering/Structuring",2004,1462
"Other",2004,2006
"Prearranged or Other Non-Competitive Trading",2004,22
"Securities Fraud",2004,263
"Significant Wire or Other Transactions Without Economic Purpose",2004,855
"Suspicious Documents or ID Presented",2004,289
"Terrorist Financing",2004,31
"Unknown/Blank",2004,200
"Wash or Other Fictitious Trading",2004,36
"Wire Fraud",2004,653
"Bribery/Gratuity",2005,92
"Check Fraud",2005,900
"Computer Intrusion",2005,182
"Credit/Debit Card Fraud",2005,295
"Embezzlement/Theft",2005,505
"Forgery",2005,234
"Futures Fraud",2005,5
"Identity Theft",2005,1043
"Insider Trading",2005,190
"Mail Fraud",2005,271
"Market Manipulation",2005,305
"Money Laundering/Structuring",2005,1773
"Other",2005,2598
"Prearranged or Other Non-Competitive Trading",2005,60
"Securities Fraud",2005,551
"Significant Wire or Other Transactions Without Economic Purpose",2005,986
"Suspicious Documents or ID Presented",2005,373
"Terrorist Financing",2005,32
"Unknown/Blank",2005,53
"Wash or Other Fictitious Trading",2005,68
"Wire Fraud",2005,844
"Bribery/Gratuity",2006,75
"Check Fraud",2006,999
"Computer Intrusion",2006,455
"Credit/Debit Card Fraud",2006,280
"Embezzlement/Theft",2006,517
"Forgery",2006,358
"Futures Fraud",2006,10
"Identity Theft",2006,1141
"Insider Trading",2006,277
"Mail Fraud",2006,180
"Market Manipulation",2006,578
"Money Laundering/Structuring",2006,2288
"Other",2006,2808
"Prearranged or Other Non-Competitive Trading",2006,114
"Securities Fraud",2006,696
"Significant Wire or Other Transactions Without Economic Purpose",2006,1084
"Suspicious Documents or ID Presented",2006,523
"Terrorist Financing",2006,25
"Unknown/Blank",2006,61
"Wash or Other Fictitious Trading",2006,158
"Wire Fraud",2006,893
"Bribery/Gratuity",2007,52
"Check Fraud",2007,1232
"Computer Intrusion",2007,1241
"Credit/Debit Card Fraud",2007,410
"Embezzlement/Theft",2007,592
"Forgery",2007,392
"Futures Fraud",2007,20
"Identity Theft",2007,2089
"Insider Trading",2007,388
"Mail Fraud",2007,326
"Market Manipulation",2007,1470
"Money Laundering/Structuring",2007,3994
"Other",2007,3938
"Prearranged or Other Non-Competitive Trading",2007,145
"Securities Fraud",2007,1520
"Significant Wire or Other Transactions Without Economic Purpose",2007,1413
"Suspicious Documents or ID Presented",2007,808
"Terrorist Financing",2007,50
"Unknown/Blank",2007,145
"Wash or Other Fictitious Trading",2007,194
"Wire Fraud",2007,1615
"Bribery/Gratuity",2008,44
"Check Fraud",2008,1197
"Computer Intrusion",2008,967
"Credit/Debit Card Fraud",2008,800
"Embezzlement/Theft",2008,851
"Forgery",2008,492
"Futures Fraud",2008,27
"Identity Theft",2008,1947
"Insider Trading",2008,499
"Mail Fraud",2008,523
"Market Manipulation",2008,1460
"Money Laundering/Structuring",2008,4037
"Other",2008,5288
"Prearranged or Other Non-Competitive Trading",2008,143
"Securities Fraud",2008,1856
"Significant Wire or Other Transactions Without Economic Purpose",2008,1813
"Suspicious Documents or ID Presented",2008,802
"Terrorist Financing",2008,32
"Unknown/Blank",2008,122
"Wash or Other Fictitious Trading",2008,181
"Wire Fraud",2008,1831
"Bribery/Gratuity",2009,62
"Check Fraud",2009,1380
"Computer Intrusion",2009,706
"Credit/Debit Card Fraud",2009,659
"Embezzlement/Theft",2009,980
"Forgery",2009,601
"Futures Fraud",2009,44
"Identity Theft",2009,2099
"Insider Trading",2009,572
"Mail Fraud",2009,641
"Market Manipulation",2009,1410
"Money Laundering/Structuring",2009,3676
"Other",2009,7065
"Prearranged or Other Non-Competitive Trading",2009,155
"Securities Fraud",2009,1882
"Significant Wire or Other Transactions Without Economic Purpose",2009,2564
"Suspicious Documents or ID Presented",2009,880
"Terrorist Financing",2009,28
"Unknown/Blank",2009,643
"Wash or Other Fictitious Trading",2009,322
"Wire Fraud",2009,2552
"Bribery/Gratuity",2010,45
"Check Fraud",2010,607
"Computer Intrusion",2010,273
"Credit/Debit Card Fraud",2010,261
"Embezzlement/Theft",2010,455
"Forgery",2010,345
"Futures Fraud",2010,8
"Identity Theft",2010,1056
"Insider Trading",2010,299
"Mail Fraud",2010,351
"Market Manipulation",2010,603
"Money Laundering/Structuring",2010,1863
"Other",2010,4120
"Prearranged or Other Non-Competitive Trading",2010,75
"Securities Fraud",2010,1214
"Significant Wire or Other Transactions Without Economic Purpose",2010,1405
"Suspicious Documents or ID Presented",2010,429
"Terrorist Financing",2010,34
"Unknown/Blank",2010,36
"Wash or Other Fictitious Trading",2010,131
"Wire Fraud",2010,1143
