"Institution.Individual","Year","Incidents"
"Specialist",2001,0
"Subsidiary of Bank",2001,0
"U.S. Government Broker - Dealer",2001,0
"U.S. Government Interdealer Broker",2001,0
"Other",2001,0
"Unknown/Blank",2001,0
"Agriculture Trade Option Merchant",2002,0
"Affiliate of Bank Holding Company",2002,0
"Commodity Pool Operator",2002,0
"Commodity Trading Advisor",2002,0
"Direct Participation Program",2002,0
"Futures Commission Merchant",2002,0
"Futures Floor Broker",2002,0
"Futures Floor Trader",2002,0
"Introducing Broker - Futures",2002,0
"Investment Advisor",2002,0
"Investment Company - Mutual Fund ",2002,0
"Market Maker",2002,0
"Municipal Securities Dealer",2002,0
"National Futures Association",2002,0
"Registered Equity - Futures",2002,0
"Other Registered Futures Associations",2002,0
"Securities Brokers - Clearing ",2002,0
"Securities Brokers - Introducing ",2002,0
"Securities Dealer",2002,0
"Securities Floor Broker",2002,0
"Securities Options Broker - Dealer",2002,0
"Self Regulatory Organization (SRO)",2002,0
"Specialist",2002,0
"Subsidiary of Bank",2002,0
"U.S. Government Broker - Dealer",2002,0
"U.S. Government Interdealer Broker",2002,0
"Other",2002,0
"Unknown/Blank",2002,0
"Agriculture Trade Option Merchant",2003,234
"Affiliate of Bank Holding Company",2003,508
"Commodity Pool Operator",2003,0
"Commodity Trading Advisor",2003,0
"Direct Participation Program",2003,3
"Futures Commission Merchant",2003,16
"Futures Floor Broker",2003,1
"Futures Floor Trader",2003,0
"Introducing Broker - Futures",2003,18
"Investment Advisor",2003,186
"Investment Company - Mutual Fund ",2003,0
"Market Maker",2003,100
"Municipal Securities Dealer",2003,25
"National Futures Association",2003,7
"Registered Equity - Futures",2003,0
"Other Registered Futures Associations",2003,3
"Securities Brokers - Clearing ",2003,1516
"Securities Brokers - Introducing ",2003,1237
"Securities Dealer",2003,966
"Securities Floor Broker",2003,7
"Securities Options Broker - Dealer",2003,32
"Self Regulatory Organization (SRO)",2003,0
"Specialist",2003,4
"Subsidiary of Bank",2003,58
"U.S. Government Broker - Dealer",2003,18
"U.S. Government Interdealer Broker",2003,0
"Other",2003,473
"Unknown/Blank",2003,398
"Agriculture Trade Option Merchant",2004,115
"Affiliate of Bank Holding Company",2004,757
"Commodity Pool Operator",2004,1
"Commodity Trading Advisor",2004,5
"Direct Participation Program",2004,10
"Futures Commission Merchant",2004,54
"Futures Floor Broker",2004,2
"Futures Floor Trader",2004,4
"Introducing Broker - Futures",2004,18
"Investment Advisor",2004,329
"Investment Company - Mutual Fund ",2004,485
"Market Maker",2004,300
"Municipal Securities Dealer",2004,62
"National Futures Association",2004,7
