"State.Territory","Year","Incidents"
"Maine","2014",3372
"Marshall Islands","2014",6
"Maryland","2014",14091
"Massachusetts","2014",14904
"Michigan","2014",17429
"Minnesota","2014",9845
"Mississippi","2014",6528
"Missouri","2014",11647
"Montana","2014",895
"Nebraska","2014",2522
"Nevada","2014",11942
"New Hampshire","2014",1898
"New Jersey","2014",30278
"New Mexico","2014",3115
"New York","2014",103333
"North Carolina","2014",41864
"North Dakota","2014",894
"Northern Mariana Islands","2014",225
"Ohio","2014",101934
"Oklahoma","2014",7151
"Oregon","2014",7119
"Overseas","2014",NA
"Palau","2014",60
"Pennsylvania","2014",28088
"Puerto Rico","2014",6669
"Rhode Island","2014",3437
"South Carolina","2014",8018
"South Dakota","2014",13599
"Tennessee","2014",12383
"Texas","2014",74953
"U.S. Virgin Islands","2014",486
"Unknown/Blank","2014",635
"Utah","2014",21326
"Vermont","2014",882
"Virginia","2014",34290
"Washington","2014",14191
"West Virginia","2014",2936
"Wisconsin","2014",7431
"Wyoming","2014",712
"Alabama","2015",0
"Alaska","2015",0
"American Samoa","2015",0
"Arizona","2015",0
"Arkansas","2015",0
"California","2015",0
"Colorado","2015",0
"Connecticut","2015",0
"Delaware","2015",0
"District of Columbia","2015",0
"Federated States of Micronesia","2015",0
"Florida","2015",0
"Georgia","2015",0
"Guam","2015",0
"Hawaii","2015",0
"Idaho","2015",0
"Illinois","2015",0
"Indiana","2015",0
"Iowa","2015",0
"Kansas","2015",0
"Kentucky","2015",0
"Louisiana","2015",0
"Maine","2015",0
"Marshall Islands","2015",0
"Maryland","2015",0
"Massachusetts","2015",0
"Michigan","2015",0
"Minnesota","2015",0
"Mississippi","2015",0
"Missouri","2015",0
"Montana","2015",0
"Nebraska","2015",0
"Nevada","2015",0
"New Hampshire","2015",0
"New Jersey","2015",0
"New Mexico","2015",0
"New York","2015",0
"North Carolina","2015",0
"North Dakota","2015",0
"Northern Mariana Islands","2015",0
"Ohio","2015",0
"Oklahoma","2015",0
"Oregon","2015",0
"Overseas","2015",0
"Palau","2015",0
"Pennsylvania","2015",0
"Puerto Rico","2015",0
"Rhode Island","2015",0
"South Carolina","2015",0
"South Dakota","2015",0
"Tennessee","2015",0
"Texas","2015",0
"U.S. Virgin Islands","2015",0
"Unknown/Blank","2015",0
"Utah","2015",0
"Vermont","2015",0
"Virginia","2015",0
"Washington","2015",0
"West Virginia","2015",0
"Wisconsin","2015",0
"Wyoming","2015",0
