"State.Territory","Year","Incidents"
"Kansas","2000",520
"Kentucky","2000",853
"Louisiana","2000",1943
"Maine","2000",241
"Marshall Islands","2000",0
"Maryland","2000",2069
"Massachusetts","2000",2747
"Michigan","2000",3765
"Minnesota","2000",2893
"Mississippi","2000",521
"Missouri","2000",1590
"Montana","2000",220
"Nebraska","2000",615
"Nevada","2000",3074
"New Hampshire","2000",448
"New Jersey","2000",4197
"New Mexico","2000",403
"New York","2000",19138
"North Carolina","2000",2978
"North Dakota","2000",224
"Northern Mariana Islands","2000",57
"Ohio","2000",3319
"Oklahoma","2000",813
"Oregon","2000",2471
"Overseas","2000",22
"Palau","2000",0
"Pennsylvania","2000",3535
"Puerto Rico","2000",1063
"Rhode Island","2000",495
"South Carolina","2000",733
"South Dakota","2000",267
"Tennessee","2000",1555
"Texas","2000",10119
"U.S. Virgin Islands","2000",32
"Unknown/Blank","2000",19
"Utah","2000",2219
"Vermont","2000",69
"Virginia","2000",2001
"Washington","2000",3362
"West Virginia","2000",182
"Wisconsin","2000",1006
"Wyoming","2000",67
"Alabama","2001",1156
"Alaska","2001",287
"American Samoa","2001",2
"Arizona","2001",4350
"Arkansas","2001",694
"California","2001",54467
"Colorado","2001",3526
"Connecticut","2001",4445
"Delaware","2001",4360
"District of Columbia","2001",594
"Federated States of Micronesia","2001",1
"Florida","2001",12434
"Georgia","2001",4112
"Guam","2001",90
"Hawaii","2001",982
"Idaho","2001",401
"Illinois","2001",5727
"Indiana","2001",1638
"Iowa","2001",838
"Kansas","2001",838
"Kentucky","2001",1334
"Louisiana","2001",2312
"Maine","2001",325
"Marshall Islands","2001",1
"Maryland","2001",2249
"Massachusetts","2001",3220
"Michigan","2001",4880
"Minnesota","2001",3379
"Mississippi","2001",693
"Missouri","2001",2472
"Montana","2001",284
"Nebraska","2001",835
"Nevada","2001",3221
"New Hampshire","2001",1018
"New Jersey","2001",5694
"New Mexico","2001",502
"New York","2001",23737
"North Carolina","2001",3238
"North Dakota","2001",224
"Northern Mariana Islands","2001",41
"Ohio","2001",4536
"Oklahoma","2001",897
"Oregon","2001",2813
"Overseas","2001",20
"Palau","2001",3
"Pennsylvania","2001",4498
"Puerto Rico","2001",1237
"Rhode Island","2001",530
"South Carolina","2001",963
"South Dakota","2001",478
"Tennessee","2001",2036
"Texas","2001",13426
"U.S. Virgin Islands","2001",58
"Unknown/Blank","2001",34
"Utah","2001",2673
"Vermont","2001",98
"Virginia","2001",3014
"Washington","2001",3989
"West Virginia","2001",173
"Wisconsin","2001",1260
"Wyoming","2001",201
"Alabama","2002",1263
"Alaska","2002",420
"American Samoa","2002",8
"Arizona","2002",12680
"Arkansas","2002",956
"California","2002",63489
"Colorado","2002",6857
"Connecticut","2002",4231
"Delaware","2002",6660
"District of Columbia","2002",909
"Federated States of Micronesia","2002",3
"Florida","2002",17389
"Georgia","2002",5634
"Guam","2002",131
"Hawaii","2002",1189
"Idaho","2002",414
"Illinois","2002",10146
"Indiana","2002",2526
"Iowa","2002",960
"Kansas","2002",1506
"Kentucky","2002",1859
"Louisiana","2002",2725
"Maine","2002",429
"Marshall Islands","2002",3
"Maryland","2002",3662
"Massachusetts","2002",5274
"Michigan","2002",6049
"Minnesota","2002",4461
"Mississippi","2002",729
"Missouri","2002",2791
"Montana","2002",249
"Nebraska","2002",3560
"Nevada","2002",3584
"New Hampshire","2002",944
"New Jersey","2002",7873
"New Mexico","2002",869
"New York","2002",30729
"North Carolina","2002",3589
"North Dakota","2002",256
"Northern Mariana Islands","2002",68
"Ohio","2002",6173
"Oklahoma","2002",1233
"Oregon","2002",2254
"Overseas","2002",14
"Palau","2002",1
"Pennsylvania","2002",6713
