"State","Year","Nature","Incidents"
"Connecticut",2005,"Bribery.Gratuity",0
"Connecticut",2006,"Bribery.Gratuity",0
"Connecticut",2007,"Bribery.Gratuity",0
"Connecticut",2008,"Bribery.Gratuity",1
"Connecticut",2009,"Bribery.Gratuity",2
"Connecticut",2010,"Bribery.Gratuity",0
"Connecticut",2011,"Bribery.Gratuity",0
"Delaware",1996,"Bribery.Gratuity",0
"Delaware",1997,"Bribery.Gratuity",0
"Delaware",1998,"Bribery.Gratuity",0
"Delaware",1999,"Bribery.Gratuity",0
"Delaware",2000,"Bribery.Gratuity",0
"Delaware",2001,"Bribery.Gratuity",0
"Delaware",2002,"Bribery.Gratuity",0
"Delaware",2003,"Bribery.Gratuity",0
"Delaware",2004,"Bribery.Gratuity",0
"Delaware",2005,"Bribery.Gratuity",0
"Delaware",2006,"Bribery.Gratuity",0
"Delaware",2007,"Bribery.Gratuity",0
"Delaware",2008,"Bribery.Gratuity",0
"Delaware",2009,"Bribery.Gratuity",0
"Delaware",2010,"Bribery.Gratuity",0
"Delaware",2011,"Bribery.Gratuity",0
"District of Columbia",1996,"Bribery.Gratuity",0
"District of Columbia",1997,"Bribery.Gratuity",0
"District of Columbia",1998,"Bribery.Gratuity",0
"District of Columbia",1999,"Bribery.Gratuity",0
"District of Columbia",2000,"Bribery.Gratuity",0
"District of Columbia",2001,"Bribery.Gratuity",0
"District of Columbia",2002,"Bribery.Gratuity",0
"District of Columbia",2003,"Bribery.Gratuity",0
"District of Columbia",2004,"Bribery.Gratuity",0
"District of Columbia",2005,"Bribery.Gratuity",0
"District of Columbia",2006,"Bribery.Gratuity",0
"District of Columbia",2007,"Bribery.Gratuity",0
"District of Columbia",2008,"Bribery.Gratuity",0
"District of Columbia",2009,"Bribery.Gratuity",0
"District of Columbia",2010,"Bribery.Gratuity",0
"District of Columbia",2011,"Bribery.Gratuity",0
"Federated States of Micronesia",1996,"Bribery.Gratuity",0
"Federated States of Micronesia",1997,"Bribery.Gratuity",0
"Federated States of Micronesia",1998,"Bribery.Gratuity",0
"Federated States of Micronesia",1999,"Bribery.Gratuity",0
"Federated States of Micronesia",2000,"Bribery.Gratuity",0
"Federated States of Micronesia",2001,"Bribery.Gratuity",0
"Federated States of Micronesia",2002,"Bribery.Gratuity",0
"Federated States of Micronesia",2003,"Bribery.Gratuity",0
"Federated States of Micronesia",2004,"Bribery.Gratuity",0
"Federated States of Micronesia",2005,"Bribery.Gratuity",0
"Federated States of Micronesia",2006,"Bribery.Gratuity",0
"Federated States of Micronesia",2007,"Bribery.Gratuity",0
"Federated States of Micronesia",2008,"Bribery.Gratuity",0
"Federated States of Micronesia",2009,"Bribery.Gratuity",0
"Federated States of Micronesia",2010,"Bribery.Gratuity",0
"Federated States of Micronesia",2011,"Bribery.Gratuity",0
"Florida",1996,"Bribery.Gratuity",0
"Florida",1997,"Bribery.Gratuity",0
"Florida",1998,"Bribery.Gratuity",0
"Florida",1999,"Bribery.Gratuity",0
"Florida",2000,"Bribery.Gratuity",0
"Florida",2001,"Bribery.Gratuity",0
"Florida",2002,"Bribery.Gratuity",0
"Florida",2003,"Bribery.Gratuity",0
"Florida",2004,"Bribery.Gratuity",0
"Florida",2005,"Bribery.Gratuity",0
"Florida",2006,"Bribery.Gratuity",0
"Florida",2007,"Bribery.Gratuity",0
"Florida",2008,"Bribery.Gratuity",0
